story_id,epic_id,module,persona,user_story,acceptance_criteria_count,sample_acceptance_criteria,story_points,sprint,owner,data_dependency,grooming_score,acceptance_quality,uat_test_cases,uat_pass_rate,p1_defects,p2_defects,signoff_status,readiness_score
US005-1,EP005,Cards,Cardholder,"As a cardholder, I need to freeze and unfreeze a debit card so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to freeze and unfreeze a debit card, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 9,Business analyst,Cards processor,65.3,72.2,4,0.75,0,0,Pending,71.3
US005-2,EP005,Cards,Cardholder,"As a cardholder, I need to set travel notice rules so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to set travel notice rules, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 9,QA lead,Cards processor,72.5,74.6,7,0.857,0,2,Pending,66.3
US005-3,EP005,Cards,Cardholder,"As a cardholder, I need to view merchant-level authorization declines so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to view merchant-level authorization declines, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 9,Engineering lead,Document store,74.7,72.1,7,0.571,0,1,Pending,62.8
US006-1,EP006,Notifications,Mobile banking customer,"As a mobile banking customer, I need to configure low-balance alerts so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to configure low-balance alerts, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 10,QA lead,Cards processor,69.2,71.9,5,0.6,0,0,Pending,70.0
US006-2,EP006,Notifications,Mobile banking customer,"As a mobile banking customer, I need to confirm alert delivery channel so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to confirm alert delivery channel, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 10,Engineering lead,CRM,83.3,76.7,6,1.0,0,0,Signed,86.9
US006-3,EP006,Notifications,Mobile banking customer,"As a mobile banking customer, I need to pause duplicate notifications so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to pause duplicate notifications, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 10,QA lead,Cards processor,76.5,75.9,6,1.0,0,0,Signed,86.0
US007-1,EP007,Documents,Digital servicing customer,"As a digital servicing customer, I need to download prior statements so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to download prior statements, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 10,QA lead,CRM,65.1,75.6,5,0.6,0,0,Pending,68.0
US007-2,EP007,Documents,Digital servicing customer,"As a digital servicing customer, I need to enroll in paperless delivery so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to enroll in paperless delivery, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 10,QA lead,Core banking,72.7,75.3,6,1.0,0,0,Signed,84.2
US007-3,EP007,Documents,Digital servicing customer,"As a digital servicing customer, I need to search tax documents by year so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to search tax documents by year, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 10,Engineering lead,Document store,74.0,74.1,5,0.8,0,0,Pending,77.4
US008-1,EP008,Profile,Digital servicing customer,"As a digital servicing customer, I need to update preferred phone number so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to update preferred phone number, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 11,Engineering lead,Document store,76.8,71.4,4,1.0,0,0,Signed,81.3
US008-2,EP008,Profile,Digital servicing customer,"As a digital servicing customer, I need to confirm mailing address changes so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to confirm mailing address changes, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 11,Product owner,Document store,87.1,76.4,5,1.0,0,0,Signed,87.9
US008-3,EP008,Profile,Digital servicing customer,"As a digital servicing customer, I need to route sensitive updates to review so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to route sensitive updates to review, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 11,Product owner,CRM,71.3,73.9,5,0.4,0,0,Pending,63.4
US009-1,EP009,Claims,Cardholder with transaction issue,"As a cardholder with transaction issue, I need to submit a debit card dispute so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to submit a debit card dispute, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 11,Business analyst,Document store,62.1,73.8,5,0.8,0,2,Not ready,58.3
US009-2,EP009,Claims,Cardholder with transaction issue,"As a cardholder with transaction issue, I need to attach dispute documentation so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to attach dispute documentation, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 11,Product owner,Document store,75.7,76.7,7,0.714,0,0,Pending,70.6
US009-3,EP009,Claims,Cardholder with transaction issue,"As a cardholder with transaction issue, I need to track provisional credit status so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to track provisional credit status, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 11,Engineering lead,Cards processor,64.8,80.0,4,0.25,0,2,Not ready,42.2
US010-1,EP010,Business banking,Small-business admin,"As a small-business admin, I need to assign payment approval roles so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to assign payment approval roles, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 12,Product owner,Notification hub,59.2,68.3,4,0.5,0,2,Not ready,44.3
US010-2,EP010,Business banking,Small-business admin,"As a small-business admin, I need to set dual-control thresholds so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to set dual-control thresholds, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 12,Business analyst,Document store,57.1,75.9,4,0.5,0,2,Not ready,44.9
US010-3,EP010,Business banking,Small-business admin,"As a small-business admin, I need to audit user permission changes so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to audit user permission changes, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 12,Product owner,Core banking,78.7,70.7,4,1.0,0,0,Pending,74.6
